iter	Passed	Remaining
0	184	184032
1	191	95689
2	199	66383
3	204	50867
4	210	41854
5	215	35622
6	219	31166
7	225	27975
8	230	25352
9	234	23245
10	242	21842
11	247	20391
12	252	19146
13	258	18209
14	263	17271
15	269	16568
16	276	15995
17	281	15354
18	286	14810
19	291	14274
20	295	13788
21	302	13432
22	307	13081
23	313	12731
24	320	12484
25	325	12184
26	329	11883
27	335	11661
28	340	11401
29	345	11163
30	351	10974
31	355	10747
32	359	10545
33	365	10396
34	370	10215
35	374	10039
36	380	9909
37	385	9751
38	389	9609
39	395	9487
40	400	9360
41	406	9265
42	411	9168
43	419	9113
44	424	9000
45	432	8966
46	438	8884
47	445	8832
48	450	8751
49	455	8647
50	460	8568
51	464	8473
52	468	8378
53	475	8322
54	479	8240
55	483	8155
56	488	8073
57	493	8018
58	499	7967
59	504	7898
60	510	7858
61	514	7790
62	519	7726
63	525	7679
64	529	7614
65	533	7555
66	539	7510
67	543	7450
68	547	7390
69	551	7331
70	557	7290
71	561	7235
72	565	7181
73	571	7150
74	575	7098
75	579	7050
76	584	7005
77	588	6959
78	592	6912
79	597	6867
80	602	6839
81	607	6797
82	611	6754
83	617	6729
84	621	6688
85	625	6649
86	629	6610
87	635	6584
88	639	6548
89	643	6510
90	650	6493
91	654	6457
92	658	6424
93	664	6404
94	669	6373
95	673	6342
96	677	6310
97	682	6283
98	687	6252
99	691	6223
100	697	6209
101	701	6178
102	705	6147
103	711	6126
104	715	6100
105	719	6071
106	724	6044
107	729	6027
108	735	6012
109	739	5986
110	745	5973
111	750	5946
112	754	5921
113	759	5905
114	764	5880
115	768	5855
116	773	5834
117	778	5820
118	784	5808
119	788	5785
120	794	5772
121	799	5751
122	803	5727
123	809	5715
124	813	5692
125	817	5671
126	823	5661
127	827	5639
128	833	5629
129	843	5648
130	848	5629
131	853	5609
132	859	5604
133	864	5587
134	869	5568
135	874	5555
136	879	5540
137	884	5521
138	890	5514
139	894	5497
140	899	5479
141	905	5471
142	909	5453
143	914	5436
144	920	5429
145	926	5417
146	933	5415
147	941	5419
148	946	5404
149	952	5397
150	956	5379
151	961	5362
152	966	5351
153	971	5335
154	975	5319
155	980	5307
156	985	5293
157	992	5287
158	996	5270
159	1001	5258
160	1006	5243
161	1010	5229
162	1016	5221
163	1021	5205
164	1025	5189
165	1030	5175
166	1034	5159
167	1039	5146
168	1043	5131
169	1048	5118
170	1053	5104
171	1057	5091
172	1062	5079
173	1067	5066
174	1071	5051
175	1076	5038
176	1080	5025
177	1085	5010
178	1089	4996
179	1094	4986
180	1098	4971
181	1103	4958
182	1108	4948
183	1113	4936
184	1117	4923
185	1122	4910
186	1126	4898
187	1131	4885
188	1135	4871
189	1139	4857
190	1144	4848
191	1148	4834
192	1153	4821
193	1157	4810
194	1162	4798
195	1166	4785
196	1170	4772
197	1175	4763
198	1180	4749
199	1184	4737
200	1189	4729
201	1194	4717
202	1198	4704
203	1202	4693
204	1207	4683
205	1212	4671
206	1216	4660
207	1221	4650
208	1225	4638
209	1230	4627
210	1235	4621
211	1241	4616
212	1246	4604
213	1250	4592
214	1255	4582
215	1259	4570
216	1264	4563
217	1271	4560
218	1276	4550
219	1280	4539
220	1285	4532
221	1290	4521
222	1294	4511
223	1299	4501
224	1303	4490
225	1308	4481
226	1312	4470
227	1317	4461
228	1322	4452
229	1326	4441
230	1331	4431
231	1335	4421
232	1340	4411
233	1344	4400
234	1348	4390
235	1353	4381
236	1357	4371
237	1362	4363
238	1367	4354
239	1372	4344
240	1376	4334
241	1381	4327
242	1386	4318
243	1390	4308
244	1395	4300
245	1399	4290
246	1403	4280
247	1408	4270
248	1412	4261
249	1417	4252
250	1421	4242
251	1426	4232
252	1430	4223
253	1435	4215
254	1439	4205
255	1444	4198
256	1449	4190
257	1453	4181
258	1458	4172
259	1462	4162
260	1466	4153
261	1471	4144
262	1476	4138
263	1481	4130
264	1486	4122
265	1492	4117
266	1496	4109
267	1501	4100
268	1507	4095
269	1511	4085
270	1515	4076
271	1519	4067
272	1526	4064
273	1531	4057
274	1535	4048
275	1540	4039
276	1544	4031
277	1549	4023
278	1553	4015
279	1558	4006
280	1562	3997
281	1566	3988
282	1571	3981
283	1575	3973
284	1580	3965
285	1585	3957
286	1589	3949
287	1594	3941
288	1598	3932
289	1602	3924
290	1607	3915
291	1611	3907
292	1615	3899
293	1620	3891
294	1624	3883
295	1629	3874
296	1634	3867
297	1638	3860
298	1642	3851
299	1647	3844
300	1652	3838
301	1659	3834
302	1664	3829
303	1669	3822
304	1673	3813
305	1678	3805
306	1682	3798
307	1687	3790
308	1691	3782
309	1695	3774
310	1700	3766
311	1704	3758
312	1709	3751
313	1714	3746
314	1719	3738
315	1723	3730
316	1727	3722
317	1732	3715
318	1736	3707
319	1741	3699
320	1745	3693
321	1751	3688
322	1756	3681
323	1761	3674
324	1765	3666
325	1769	3658
326	1774	3651
327	1779	3646
328	1783	3638
329	1788	3630
330	1793	3624
331	1797	3617
332	1802	3611
333	1809	3607
334	1814	3602
335	1820	3597
336	1827	3594
337	1833	3590
338	1838	3585
339	1844	3581
340	1850	3576
341	1856	3572
342	1863	3569
343	1869	3564
344	1875	3560
345	1881	3555
346	1887	3551
347	1893	3547
348	1898	3540
349	1902	3532
350	1907	3526
351	1911	3519
352	1916	3512
353	1921	3505
354	1925	3498
355	1930	3491
356	1935	3485
357	1939	3478
358	1943	3470
359	1948	3463
360	1956	3463
361	1960	3456
362	1965	3448
363	1970	3442
364	1974	3435
365	1979	3428
366	1984	3423
367	1989	3415
368	1993	3408
369	1997	3401
370	2002	3395
371	2009	3392
372	2014	3386
373	2018	3379
374	2023	3371
375	2028	3367
376	2035	3363
377	2039	3356
378	2044	3350
379	2050	3344
380	2054	3337
381	2058	3330
382	2063	3324
383	2067	3317
384	2072	3310
385	2100	3341
386	2137	3386
387	2182	3442
388	2218	3484
389	2264	3542
390	2337	3640
391	2395	3715
392	2459	3798
393	2554	3928
394	2649	4058
395	2735	4173
396	2851	4331
397	2971	4495
398	3156	4754
399	3185	4778
400	3197	4775
401	3204	4767
402	3210	4755
403	3216	4744
404	3222	4734
405	3229	4724
406	3234	4712
407	3239	4700
408	3245	4689
409	3250	4677
410	3255	4665
411	3261	4654
412	3266	4642
413	3271	4630
414	3277	4619
415	3281	4606
416	3285	4593
417	3289	4580
418	3294	4568
419	3299	4556
420	3305	4545
421	3310	4534
422	3315	4521
423	3319	4509
424	3324	4497
425	3328	4485
426	3332	4472
427	3337	4459
428	3341	4447
429	3345	4435
430	3350	4422
431	3354	4410
432	3358	4398
433	3363	4386
434	3367	4373
435	3372	4362
436	3376	4350
437	3380	4337
438	3385	4326
439	3389	4314
440	3393	4301
441	3398	4289
442	3403	4278
443	3407	4266
444	3411	4254
445	3415	4242
446	3420	4231
447	3424	4219
448	3429	4208
449	3434	4197
450	3438	4185
451	3443	4174
452	3447	4162
453	3452	4152
454	3456	4140
455	3460	4128
456	3465	4117
457	3469	4105
458	3473	4094
459	3477	4082
460	3482	4071
461	3486	4060
462	3492	4050
463	3498	4041
464	3502	4030
465	3507	4019
466	3511	4008
467	3516	3997
468	3520	3986
469	3525	3975
470	3529	3964
471	3533	3953
472	3538	3941
473	3542	3930
474	3547	3920
475	3552	3910
